step,day,t,decision_attempt_count,event_emitted_count,event_emit_rate_in_attempts,stage_min_event_force_count
112601,1,12601,0.0,0.0,0.0,0.0
113501,1,13501,1.0,0.0,0.0,0.0
114401,1,14401,1.0,0.0,0.0,0.0
115301,1,15301,1.0,0.0,0.0,0.0
116201,1,16201,3.0,0.0,0.0,0.0
117101,1,17101,0.0,0.0,0.0,0.0
118001,1,18001,0.0,0.0,0.0,0.0
118901,1,18901,0.0,0.0,0.0,0.0
119801,1,19801,1.0,0.0,0.0,0.0
120701,1,20701,1.0,0.0,0.0,0.0
121601,1,21601,1.0,0.0,0.0,0.0
122501,1,22501,6.0,0.0,0.0,0.0
123401,1,23401,6.0,0.0,0.0,0.0
124301,1,24301,6.0,0.0,0.0,0.0
125201,1,25201,6.0,0.0,0.0,0.0
126101,1,26101,1.0,0.0,0.0,0.0
127001,1,27001,1.0,0.0,0.0,0.0
127901,1,27901,0.0,0.0,0.0,0.0
128801,1,28801,0.0,0.0,0.0,0.0
129701,1,29701,0.0,0.0,0.0,0.0
130601,1,30601,0.0,0.0,0.0,0.0
131501,1,31501,0.0,0.0,0.0,0.0
132401,1,32401,1.0,0.0,0.0,0.0
133301,1,33301,2.0,0.0,0.0,0.0
134201,1,34201,2.0,0.0,0.0,0.0
135101,1,35101,2.0,0.0,0.0,0.0
136001,1,36001,2.0,0.0,0.0,0.0
136901,1,36901,3.0,0.0,0.0,0.0
137801,1,37801,4.0,0.0,0.0,0.0
138701,1,38701,3.0,0.0,0.0,0.0
139601,1,39601,2.0,0.0,0.0,0.0
140501,1,40501,3.0,0.0,0.0,0.0
141401,1,41401,3.0,0.0,0.0,0.0
142301,1,42301,3.0,0.0,0.0,0.0
143201,1,43201,4.0,0.0,0.0,0.0
144101,1,44101,3.0,0.0,0.0,0.0
145001,1,45001,3.0,0.0,0.0,0.0
145901,1,45901,4.0,0.0,0.0,0.0
146801,1,46801,2.0,0.0,0.0,0.0
147701,1,47701,2.0,0.0,0.0,0.0
148601,1,48601,3.0,0.0,0.0,0.0
149501,1,49501,3.0,0.0,0.0,0.0
150401,1,50401,1.0,0.0,0.0,0.0
151301,1,51301,2.0,0.0,0.0,0.0
152201,1,52201,2.0,0.0,0.0,0.0
153101,1,53101,3.0,0.0,0.0,0.0
154001,1,54001,3.0,0.0,0.0,0.0
154901,1,54901,2.0,0.0,0.0,0.0
155801,1,55801,3.0,0.0,0.0,0.0
156701,1,56701,3.0,0.0,0.0,0.0
157601,1,57601,3.0,0.0,0.0,0.0
158501,1,58501,2.0,0.0,0.0,0.0
159401,1,59401,1.0,0.0,0.0,0.0
160301,1,60301,2.0,0.0,0.0,0.0
161201,1,61201,4.0,2.0,0.5,2.0
162101,1,62101,5.0,0.0,0.0,0.0
163001,1,63001,5.0,0.0,0.0,0.0
163901,1,63901,3.0,0.0,0.0,0.0
164801,1,64801,3.0,0.0,0.0,0.0
165701,1,65701,3.0,0.0,0.0,0.0
166601,1,66601,3.0,0.0,0.0,0.0
167501,1,67501,3.0,0.0,0.0,0.0
168401,1,68401,2.0,0.0,0.0,0.0
169301,1,69301,2.0,0.0,0.0,0.0
170201,1,70201,1.0,0.0,0.0,0.0
171101,1,71101,3.0,0.0,0.0,0.0
172001,1,72001,2.0,0.0,0.0,0.0
172901,1,72901,3.0,0.0,0.0,0.0
173801,1,73801,2.0,0.0,0.0,0.0
174701,1,74701,2.0,0.0,0.0,0.0
175601,1,75601,2.0,0.0,0.0,0.0
176501,1,76501,3.0,0.0,0.0,0.0
177401,1,77401,3.0,0.0,0.0,0.0
178301,1,78301,1.0,0.0,0.0,0.0
179201,1,79201,3.0,0.0,0.0,0.0
180101,1,80101,2.0,0.0,0.0,0.0
181001,1,81001,1.0,0.0,0.0,0.0
181901,1,81901,1.0,0.0,0.0,0.0
182801,1,82801,1.0,0.0,0.0,0.0
183701,1,83701,1.0,0.0,0.0,0.0
184601,1,84601,0.0,0.0,0.0,0.0
185501,1,85501,0.0,0.0,0.0,0.0
200001,2,1,1.0,0.0,0.0,0.0
200901,2,901,2.0,0.0,0.0,0.0
201801,2,1801,3.0,0.0,0.0,0.0
202701,2,2701,1.0,0.0,0.0,0.0
203601,2,3601,1.0,0.0,0.0,0.0
204501,2,4501,1.0,0.0,0.0,0.0
205401,2,5401,1.0,0.0,0.0,0.0
206301,2,6301,2.0,0.0,0.0,0.0
207201,2,7201,2.0,0.0,0.0,0.0
208101,2,8101,3.0,0.0,0.0,0.0
209001,2,9001,2.0,0.0,0.0,0.0
209901,2,9901,2.0,0.0,0.0,0.0
210801,2,10801,3.0,0.0,0.0,0.0
211701,2,11701,2.0,0.0,0.0,0.0
212601,2,12601,0.0,0.0,0.0,0.0
213501,2,13501,0.0,0.0,0.0,0.0
214401,2,14401,0.0,0.0,0.0,0.0
215301,2,15301,0.0,0.0,0.0,0.0
216201,2,16201,1.0,0.0,0.0,0.0
217101,2,17101,1.0,0.0,0.0,0.0
218001,2,18001,1.0,0.0,0.0,0.0
218901,2,18901,4.0,0.0,0.0,0.0
219801,2,19801,3.0,0.0,0.0,0.0
220701,2,20701,2.0,0.0,0.0,0.0
221601,2,21601,4.0,0.0,0.0,0.0
222501,2,22501,6.0,0.0,0.0,0.0
223401,2,23401,6.0,0.0,0.0,0.0
224301,2,24301,6.0,0.0,0.0,0.0
225201,2,25201,6.0,0.0,0.0,0.0
226101,2,26101,2.0,0.0,0.0,0.0
227001,2,27001,3.0,0.0,0.0,0.0
227901,2,27901,3.0,0.0,0.0,0.0
228801,2,28801,3.0,0.0,0.0,0.0
229701,2,29701,2.0,0.0,0.0,0.0
230601,2,30601,2.0,0.0,0.0,0.0
231501,2,31501,1.0,0.0,0.0,0.0
232401,2,32401,2.0,0.0,0.0,0.0
233301,2,33301,1.0,0.0,0.0,0.0
234201,2,34201,2.0,0.0,0.0,0.0
235101,2,35101,2.0,0.0,0.0,0.0
236001,2,36001,2.0,0.0,0.0,0.0
236901,2,36901,2.0,0.0,0.0,0.0
237801,2,37801,2.0,0.0,0.0,0.0
238701,2,38701,1.0,0.0,0.0,0.0
239601,2,39601,2.0,0.0,0.0,0.0
240501,2,40501,1.0,0.0,0.0,0.0
241401,2,41401,1.0,0.0,0.0,0.0
242301,2,42301,1.0,0.0,0.0,0.0
243201,2,43201,0.0,0.0,0.0,0.0
244101,2,44101,0.0,0.0,0.0,0.0
245001,2,45001,0.0,0.0,0.0,0.0
245901,2,45901,0.0,0.0,0.0,0.0
246801,2,46801,0.0,0.0,0.0,0.0
247701,2,47701,0.0,0.0,0.0,0.0
248601,2,48601,1.0,0.0,0.0,0.0
249501,2,49501,1.0,0.0,0.0,0.0
250401,2,50401,1.0,0.0,0.0,0.0
251301,2,51301,3.0,0.0,0.0,0.0
252201,2,52201,1.0,0.0,0.0,0.0
253101,2,53101,2.0,0.0,0.0,0.0
254001,2,54001,2.0,0.0,0.0,0.0
254901,2,54901,3.0,0.0,0.0,0.0
255801,2,55801,2.0,0.0,0.0,0.0
256701,2,56701,2.0,0.0,0.0,0.0
257601,2,57601,1.0,0.0,0.0,0.0
258501,2,58501,3.0,0.0,0.0,0.0
259401,2,59401,2.0,0.0,0.0,0.0
260301,2,60301,2.0,0.0,0.0,0.0
261201,2,61201,1.0,1.0,1.0,1.0
262101,2,62101,2.0,1.0,0.5,1.0
263001,2,63001,2.0,0.0,0.0,0.0
263901,2,63901,2.0,0.0,0.0,0.0
264801,2,64801,2.0,0.0,0.0,0.0
265701,2,65701,1.0,0.0,0.0,0.0
266601,2,66601,2.0,0.0,0.0,0.0
267501,2,67501,2.0,0.0,0.0,0.0
268401,2,68401,2.0,0.0,0.0,0.0
269301,2,69301,2.0,0.0,0.0,0.0
270201,2,70201,3.0,0.0,0.0,0.0
271101,2,71101,2.0,0.0,0.0,0.0
272001,2,72001,1.0,0.0,0.0,0.0
272901,2,72901,3.0,0.0,0.0,0.0
273801,2,73801,1.0,0.0,0.0,0.0
274701,2,74701,2.0,0.0,0.0,0.0
275601,2,75601,1.0,0.0,0.0,0.0
276501,2,76501,0.0,0.0,0.0,0.0
277401,2,77401,0.0,0.0,0.0,0.0
278301,2,78301,0.0,0.0,0.0,0.0
279201,2,79201,1.0,0.0,0.0,0.0
280101,2,80101,1.0,0.0,0.0,0.0
281001,2,81001,1.0,0.0,0.0,0.0
281901,2,81901,1.0,0.0,0.0,0.0
282801,2,82801,2.0,0.0,0.0,0.0
283701,2,83701,1.0,0.0,0.0,0.0
284601,2,84601,0.0,0.0,0.0,0.0
285501,2,85501,1.0,0.0,0.0,0.0
300001,3,1,0.0,0.0,0.0,0.0
300901,3,901,3.0,0.0,0.0,0.0
301801,3,1801,3.0,0.0,0.0,0.0
302701,3,2701,2.0,0.0,0.0,0.0
303601,3,3601,2.0,0.0,0.0,0.0
304501,3,4501,0.0,0.0,0.0,0.0
305401,3,5401,1.0,0.0,0.0,0.0
306301,3,6301,1.0,0.0,0.0,0.0
307201,3,7201,1.0,0.0,0.0,0.0
308101,3,8101,2.0,0.0,0.0,0.0
309001,3,9001,2.0,0.0,0.0,0.0
309901,3,9901,1.0,0.0,0.0,0.0
310801,3,10801,2.0,0.0,0.0,0.0
311701,3,11701,1.0,0.0,0.0,0.0
312601,3,12601,3.0,0.0,0.0,0.0
313501,3,13501,0.0,0.0,0.0,0.0
314401,3,14401,0.0,0.0,0.0,0.0
315301,3,15301,0.0,0.0,0.0,0.0
316201,3,16201,1.0,0.0,0.0,0.0
317101,3,17101,1.0,0.0,0.0,0.0
318001,3,18001,1.0,0.0,0.0,0.0
318901,3,18901,1.0,0.0,0.0,0.0
319801,3,19801,1.0,0.0,0.0,0.0
320701,3,20701,0.0,0.0,0.0,0.0
321601,3,21601,1.0,0.0,0.0,0.0
