exp_id,step_abs,stage_index,decision_attempt_count_step,event_emitted_count_step,no_event_count_step
0e9eace8-abed-417a-af98-29344b8676af,200001,2,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,201801,2,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,203601,2,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,205401,2,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,207201,2,2,2,0
0e9eace8-abed-417a-af98-29344b8676af,209001,2,1,1,0
0e9eace8-abed-417a-af98-29344b8676af,210801,2,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,212601,2,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,214401,2,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,216201,2,1,1,0
0e9eace8-abed-417a-af98-29344b8676af,218001,2,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,219801,2,2,1,1
0e9eace8-abed-417a-af98-29344b8676af,221601,2,1,1,0
0e9eace8-abed-417a-af98-29344b8676af,223401,3,6,0,6
0e9eace8-abed-417a-af98-29344b8676af,225201,3,6,3,3
0e9eace8-abed-417a-af98-29344b8676af,227001,3,6,3,3
0e9eace8-abed-417a-af98-29344b8676af,228801,3,6,0,6
0e9eace8-abed-417a-af98-29344b8676af,230601,3,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,232401,3,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,234201,3,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,236001,3,1,1,0
0e9eace8-abed-417a-af98-29344b8676af,237801,3,1,1,0
0e9eace8-abed-417a-af98-29344b8676af,239601,3,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,241401,3,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,243201,3,1,1,0
0e9eace8-abed-417a-af98-29344b8676af,245001,3,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,246801,3,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,248601,3,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,250401,3,1,1,0
0e9eace8-abed-417a-af98-29344b8676af,252201,3,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,254001,3,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,255801,3,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,257601,3,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,259401,3,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,261201,3,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,263001,3,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,264801,3,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,266601,3,2,1,1
0e9eace8-abed-417a-af98-29344b8676af,268401,3,1,1,0
0e9eace8-abed-417a-af98-29344b8676af,270201,3,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,272001,3,2,2,0
0e9eace8-abed-417a-af98-29344b8676af,273801,3,2,0,2
0e9eace8-abed-417a-af98-29344b8676af,275601,3,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,277401,3,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,279201,3,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,281001,3,2,1,1
0e9eace8-abed-417a-af98-29344b8676af,282801,3,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,284601,3,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,300001,3,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,301801,3,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,303601,3,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,305401,3,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,307201,3,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,309001,3,2,0,2
0e9eace8-abed-417a-af98-29344b8676af,310801,3,2,0,2
0e9eace8-abed-417a-af98-29344b8676af,312601,3,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,314401,3,1,1,0
0e9eace8-abed-417a-af98-29344b8676af,316201,3,2,0,2
0e9eace8-abed-417a-af98-29344b8676af,318001,3,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,319801,3,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,321601,3,2,0,2
