world_name,day,group_id,config_fingerprint,utility_profile,row_count,policy_payload_count,control_payload_count,policy_payload_coverage,control_payload_coverage,uses_post_outcome_information_true_count,all_uses_post_outcome_information_false,strategy_changed_count,all_strategy_unchanged,semantic_fallback_count,semantic_fallback_rate,rule_fallback_count,rule_fallback_rate,safety_guard_fallback_count,safety_guard_fallback_rate,intervention_applied_count,intervention_applied_rate,mean_total_variation_distance,max_total_variation_distance,ignored_post_outcome_fields_seen_count,mean_pi_attempt,mean_pi_help,mean_pi_avoid,mean_shadow_top_prob,actual_shadow_top_match_rate,c_hat_before_mean,c_hat_after_mean,c_hat_before_pi_avoid_corr,c_hat_after_pi_avoid_corr_post_update_audit,actual_attempt_share,shadow_top_attempt_share,mean_confidence_attempt,mean_entropy_attempt,mean_pi_prior_attempt,mean_pi_llm_attempt,mean_pi_semantic_attempt,mean_pi_ref_attempt,mean_pi_bayes_attempt,mean_pi_final_attempt,mean_semantic_delta_attempt,mean_delta_applied_attempt,mean_bayesian_shift_before_floor_attempt,mean_final_delta_after_floor_attempt,actual_help_share,shadow_top_help_share,mean_confidence_help,mean_entropy_help,mean_pi_prior_help,mean_pi_llm_help,mean_pi_semantic_help,mean_pi_ref_help,mean_pi_bayes_help,mean_pi_final_help,mean_semantic_delta_help,mean_delta_applied_help,mean_bayesian_shift_before_floor_help,mean_final_delta_after_floor_help,actual_avoid_share,shadow_top_avoid_share,mean_confidence_avoid,mean_entropy_avoid,mean_pi_prior_avoid,mean_pi_llm_avoid,mean_pi_semantic_avoid,mean_pi_ref_avoid,mean_pi_bayes_avoid,mean_pi_final_avoid,mean_semantic_delta_avoid,mean_delta_applied_avoid,mean_bayesian_shift_before_floor_avoid,mean_final_delta_after_floor_avoid
high_friction_high_assist,0,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,113,113,113,1.0,1.0,0,1,113,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.3264884679,0.3556825912,0.3178289409,0.3556825912,0.4159292035,0.4868452523,0.4276886199,-0.2398337968,-0.1726371861,0.3097345133,0.0,0.0,0.7655078683,0.34,0.18,0.26,0.26,0.3264884679,0.26,-0.08,0.0,0.0,0.0,0.4159292035,1.0,0.0,0.5707187719,0.33,0.57,0.45,0.45,0.3556825912,0.45,0.12,0.0,0.0,0.0,0.2743362832,0.0,0.0407079646,0.2235524923,0.33,0.25,0.29,0.29,0.3178289409,0.29,-0.04,0.0,0.0,0.0
high_friction_high_assist,1,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,115,115,115,1.0,1.0,0,1,115,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.3237588703,0.3619679979,0.3142731318,0.370553514,0.4260869565,0.4390469734,0.4017678162,-0.7069891929,-0.5389741118,0.347826087,0.2,0.0573913043,0.7579803573,0.34,0.18,0.26,0.26,0.3237588703,0.26,-0.08,0.0,0.0,0.0,0.3739130435,0.7652173913,0.0626086957,0.5581189582,0.33,0.57,0.45,0.45,0.3619679979,0.45,0.12,0.0,0.0,0.0,0.2782608696,0.0347826087,0.0882815735,0.2040392013,0.33,0.25,0.29,0.29,0.3142731318,0.29,-0.04,0.0,0.0,0.0
high_friction_high_assist,2,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,124,124,124,1.0,1.0,0,1,124,0,0,0.0,0,0.0,0,0.0,2,0.0161290323,0.0002115395,0.014278224,0,0.329312169,0.3512269514,0.3194608796,0.3673755712,0.3870967742,0.4119045742,0.3755017957,-0.7779572284,-0.7365737029,0.1935483871,0.2822580645,0.0682795699,0.7561129541,0.34,0.18,0.26,0.26,0.329312169,0.2599225348,-0.08,0.0,-7.74652e-05,-7.74652e-05,0.4435483871,0.6209677419,0.0946236559,0.5511680544,0.33,0.57,0.45,0.45,0.3512269514,0.4498659257,0.12,0.0,-0.0001340743,-0.0001340743,0.3629032258,0.0967741935,0.1116743472,0.1936801592,0.33,0.25,0.29,0.29,0.3194608796,0.2902115395,-0.04,0.000303596,0.0002115395,0.0002115395
high_friction_high_assist,3,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,110,110,110,1.0,1.0,0,1,110,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.3245039172,0.3598783688,0.315617714,0.3716950388,0.4727272727,0.4169589651,0.3860298776,-0.750036459,-0.6432504922,0.2818181818,0.2,0.0575757576,0.7576823201,0.34,0.18,0.26,0.26,0.3245039172,0.26,-0.08,0.0,0.0,0.0,0.5,0.7090909091,0.1060606061,0.5495025864,0.33,0.57,0.45,0.45,0.3598783688,0.45,0.12,0.0,0.0,0.0,0.2181818182,0.0909090909,0.1237229437,0.1891853655,0.33,0.25,0.29,0.29,0.315617714,0.29,-0.04,0.0,0.0,0.0
high_friction_high_assist,4,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,118,118,118,1.0,1.0,0,1,118,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.3157854945,0.3768066292,0.3074078763,0.388647106,0.4237288136,0.4096581486,0.3902088641,-0.7594364044,-0.725307973,0.2033898305,0.2796610169,0.0858757062,0.7545591272,0.34,0.1796798731,0.2598399366,0.2598399366,0.3157854945,0.2598399366,-0.0801600634,0.0,0.0,0.0,0.5254237288,0.6440677966,0.1519774011,0.5406148462,0.33,0.568986265,0.4494931325,0.4494931325,0.3768066292,0.4494931325,0.1194931325,0.0,0.0,0.0,0.2711864407,0.0762711864,0.1255851493,0.1867954295,0.33,0.2513338619,0.2906669309,0.2906669309,0.3074078763,0.2906669309,-0.0393330691,0.0,0.0,0.0
high_friction_high_assist,5,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,114,114,114,1.0,1.0,0,1,114,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.3129377829,0.3798912656,0.3071709516,0.3957182974,0.3947368421,0.3898298747,0.3614709559,-0.8287913055,-0.7843483119,0.2631578947,0.1754385965,0.1298245614,0.7487154626,0.34,0.18,0.26,0.26,0.3129377829,0.26,-0.08,0.0,0.0,0.0,0.4736842105,0.6140350877,0.2099415205,0.5298725906,0.33,0.57,0.45,0.45,0.3798912656,0.45,0.12,0.0,0.0,0.0,0.2631578947,0.2105263158,0.1616541353,0.1739757425,0.33,0.25,0.29,0.29,0.3071709516,0.29,-0.04,0.0,0.0,0.0
high_friction_high_assist,6,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,112,112,112,1.0,1.0,0,1,112,0,0,0.0,0,0.0,0,0.0,6,0.0535714286,0.0007906291,0.0250388659,0,0.3251524497,0.363202686,0.3116448644,0.3875363466,0.4107142857,0.3660810556,0.3497324696,-0.8633719492,-0.8547275726,0.2589285714,0.1875,0.2037414966,0.7387567292,0.34,0.18,0.26,0.26,0.3251524497,0.2597104738,-0.08,0.0,-0.0002895262,-0.0002895262,0.4910714286,0.5625,0.2661564626,0.5230047268,0.33,0.57,0.45,0.45,0.363202686,0.449498897,0.12,0.0,-0.000501103,-0.000501103,0.25,0.25,0.1993905896,0.160985291,0.33,0.25,0.29,0.29,0.3116448644,0.2907906291,-0.04,0.0011485549,0.0007906291,0.0007906291
high_friction_high_assist,7,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,121,121,121,1.0,1.0,0,1,121,0,4,0.0330578512,0,0.0,0,0.0,22,0.1818181818,0.0036621408,0.0720880292,0,0.3204354971,0.3681933878,0.3113711151,0.3966914012,0.3223140496,0.3429867329,0.3267559252,-0.8567105003,-0.8449735668,0.2727272727,0.2479338843,0.2207792208,0.7344344998,0.34,0.1850688705,0.2626446281,0.2626446281,0.3204354971,0.2631451559,-0.0773553719,0.0002292725,0.0005005278,0.0005005278,0.3884297521,0.520661157,0.3238488784,0.509868445,0.33,0.5621763085,0.4460330579,0.4460330579,0.3681933878,0.4431330118,0.1160330579,-0.0032171881,-0.0029000461,-0.0029000461,0.3388429752,0.2314049587,0.2441033714,0.1457092242,0.33,0.2527548209,0.291322314,0.291322314,0.3113711151,0.2937218323,-0.038677686,0.002101641,0.0023995182,0.0023995182
high_friction_high_assist,8,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,116,116,116,1.0,1.0,0,1,116,0,0,0.0,0,0.0,0,0.0,32,0.275862069,0.0055518445,0.0489460159,0,0.3167560284,0.381263652,0.3019803196,0.4007133955,0.25,0.3461275848,0.3300307651,-0.8768782793,-0.8344015537,0.3362068966,0.2327586207,0.2135057471,0.7364699037,0.34,0.18,0.26,0.26,0.3167560284,0.262287014,-0.08,0.0010628709,0.002287014,0.002287014,0.3362068966,0.6379310345,0.3496305419,0.5065697513,0.33,0.57,0.45,0.45,0.381263652,0.4459000962,0.12,-0.0058671099,-0.0040999038,-0.0040999038,0.3275862069,0.1293103448,0.2657498632,0.136531297,0.33,0.25,0.29,0.29,0.3019803196,0.2918128897,-0.04,0.0004230918,0.0018128897,0.0018128897
high_friction_high_assist,9,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,118,118,118,1.0,1.0,0,1,118,0,0,0.0,0,0.0,0,0.0,30,0.2542372881,0.0051938164,0.0639391835,0,0.3097893747,0.3872368118,0.3029738135,0.4019873342,0.3305084746,0.3385423657,0.3293728383,-0.8985201955,-0.8429422089,0.2966101695,0.1525423729,0.2156174334,0.7352125,0.34,0.18,0.26,0.26,0.3097893747,0.261700929,-0.08,0.0004624188,0.001700929,0.001700929,0.406779661,0.6949152542,0.3537664783,0.510590791,0.33,0.57,0.45,0.45,0.3872368118,0.4470056611,0.12,-0.0047785187,-0.0029943389,-0.0029943389,0.2966101695,0.1525423729,0.2796206618,0.1339256481,0.33,0.25,0.29,0.29,0.3029738135,0.2912934099,-0.04,-7.66069e-05,0.0012934099,0.0012934099
high_friction_low_assist,0,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,116,116,116,1.0,1.0,0,1,116,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.3312005533,0.3468617466,0.3219377001,0.3468617466,0.3706896552,0.4941752097,0.4279519072,-0.1640159737,-0.2178037341,0.3275862069,0.0,0.0,0.7655078683,0.34,0.18,0.26,0.26,0.3312005533,0.26,-0.08,0.0,0.0,0.0,0.3706896552,1.0,0.0,0.5707187719,0.33,0.57,0.45,0.45,0.3468617466,0.45,0.12,0.0,0.0,0.0,0.3017241379,0.0,0.0448275862,0.2215400027,0.33,0.25,0.29,0.29,0.3219377001,0.29,-0.04,0.0,0.0,0.0
high_friction_low_assist,1,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,110,110,110,1.0,1.0,0,1,110,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.3338118769,0.3415219105,0.3246662125,0.3564072432,0.4090909091,0.4373164975,0.3740140183,-0.758165853,-0.6401617958,0.2090909091,0.2545454545,0.0581818182,0.7578766726,0.34,0.18,0.26,0.26,0.3338118769,0.26,-0.08,0.0,0.0,0.0,0.5272727273,0.6545454545,0.0618181818,0.5582780467,0.33,0.57,0.45,0.45,0.3415219105,0.45,0.12,0.0,0.0,0.0,0.2636363636,0.0909090909,0.0832900433,0.2055091125,0.33,0.25,0.29,0.29,0.3246662125,0.29,-0.04,0.0,0.0,0.0
high_friction_low_assist,2,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,115,115,115,1.0,1.0,0,1,115,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.3298358557,0.3464372688,0.3237268755,0.360403713,0.4695652174,0.4078629908,0.3537910456,-0.5980461882,-0.5225652906,0.2260869565,0.1565217391,0.0666666667,0.756632821,0.34,0.18,0.26,0.26,0.3298358557,0.26,-0.08,0.0,0.0,0.0,0.4869565217,0.6869565217,0.111884058,0.550407796,0.33,0.57,0.45,0.45,0.3464372688,0.45,0.12,0.0,0.0,0.0,0.2869565217,0.1565217391,0.0987163561,0.1996030508,0.33,0.25,0.29,0.29,0.3237268755,0.29,-0.04,0.0,0.0,0.0
high_friction_low_assist,3,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,117,117,117,1.0,1.0,0,1,117,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.3283350099,0.3465434497,0.3251215404,0.3624876788,0.4102564103,0.4006303639,0.336368924,-0.6666025787,-0.6483991409,0.2222222222,0.1794871795,0.0723646724,0.7558877026,0.34,0.18,0.26,0.26,0.3283350099,0.26,-0.08,0.0,0.0,0.0,0.4615384615,0.6581196581,0.1065527066,0.5507668913,0.33,0.57,0.45,0.45,0.3465434497,0.45,0.12,0.0,0.0,0.0,0.3162393162,0.1623931624,0.0957264957,0.2009614059,0.33,0.25,0.29,0.29,0.3251215404,0.29,-0.04,0.0,0.0,0.0
high_friction_low_assist,4,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,112,112,112,1.0,1.0,0,1,112,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.3263935619,0.3430385573,0.3305678808,0.3649299816,0.3303571429,0.3556893963,0.3099116453,-0.7205865468,-0.591709287,0.3392857143,0.3571428571,0.0773809524,0.755524333,0.34,0.18,0.26,0.26,0.3263935619,0.26,-0.08,0.0,0.0,0.0,0.4285714286,0.4642857143,0.155952381,0.5390428133,0.33,0.57,0.45,0.45,0.3430385573,0.45,0.12,0.0,0.0,0.0,0.2321428571,0.1785714286,0.1119897959,0.1936748614,0.33,0.25,0.29,0.29,0.3305678808,0.29,-0.04,0.0,0.0,0.0
high_friction_low_assist,5,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,118,118,118,1.0,1.0,0,1,118,0,0,0.0,0,0.0,0,0.0,2,0.0169491525,0.0001953849,0.0204313565,0,0.320815766,0.3476381774,0.3315460566,0.3729137694,0.3728813559,0.3255821664,0.2880296077,-0.7221554965,-0.704515353,0.2881355932,0.186440678,0.1271186441,0.748117937,0.34,0.18,0.26,0.26,0.320815766,0.2599447375,-0.08,0.0,-5.52625e-05,-5.52625e-05,0.3898305085,0.4576271186,0.2129943503,0.5291594107,0.33,0.57,0.45,0.45,0.3476381774,0.4499043533,0.12,0.0,-9.56467e-05,-9.56467e-05,0.3220338983,0.3559322034,0.1553672316,0.1757820371,0.33,0.25,0.29,0.29,0.3315460566,0.2901509093,-0.04,0.0002198892,0.0001509093,0.0001509093
high_friction_low_assist,6,exp_20260513_policy_lite_semantic_v2_gated_lite_lambda050_maxdelta010_4world_10d_60min,c98bc572c7aad467,theory_v2,121,121,121,1.0,1.0,0,1,121,0,0,0.0,0,0.0,0,0.0,4,0.0330578512,0.0006864499,0.0234389979,0,0.3229960993,0.3427615621,0.3342423386,0.3703156086,0.4214876033,0.303186485,0.2766963178,-0.7956457891,-0.7757356233,0.2314049587,0.1570247934,0.1832349469,0.7387578875,0.34,0.18,0.26,0.26,0.3229960993,0.259748624,-0.08,0.0,-0.000251376,-0.000251376,0.4380165289,0.4297520661,0.2780794963,0.5232207394,0.33,0.57,0.45,0.45,0.3427615621,0.4495649261,0.12,0.0,-0.0004350739,-0.0004350739,0.3305785124,0.4132231405,0.2286501377,0.147815781,0.33,0.25,0.29,0.29,0.3342423386,0.2906864499,-0.04,0.0009963609,0.0006864499,0.0006864499
