attempt_uid,exp_id,stage_index,day,t,step,attempt_seq_in_step,agent_id,emitted,outcome,scenario,message,roll,total_event_prob,p_negative_interval,p_positive_interval,hazard_p_total,hazard_r_negative,scenario_entry_reason,source,llm_status,digital_exposure,scenario_aligned,status_gate_reason,first_gate_reason,first_gate_top_score,first_gate_top_gap,attempt_detail_available,note
7889369e-0021,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,64801,64801,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0022,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,64801,64801,2,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0023,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,66601,66601,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0024,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,66601,66601,2,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0025,7889369e-0b42-414f-bacc-250ba1ca2020,1,0,68401,68401,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0026,7889369e-0b42-414f-bacc-250ba1ca2020,1,1,5401,105401,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0027,7889369e-0b42-414f-bacc-250ba1ca2020,1,1,9001,109001,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0028,7889369e-0b42-414f-bacc-250ba1ca2020,1,1,12601,112601,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0029,7889369e-0b42-414f-bacc-250ba1ca2020,1,1,18001,118001,1,5,1,negative,ride_hailing,打车流程繁琐，验证失败，心情受挫。,0.16455631525894343,0.45,0.34137870845522683,0.1086212915447732,0.45,0.7586193521227262,matched,hybrid,ok,True,True,not_applicable,matched,3,3,1,
7889369e-0030,7889369e-0b42-414f-bacc-250ba1ca2020,1,1,19801,119801,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0031,7889369e-0b42-414f-bacc-250ba1ca2020,2,1,34201,134201,1,3,1,negative,ride_hailing,打车途中遭遇繁琐流程，多次核对无果，心情受挫。,0.1839201833346077,0.45,0.2160595485388681,0.2339404514611319,0.45,0.48013233008637357,matched,hybrid,ok,True,True,not_applicable,matched,3,2,1,
7889369e-0032,7889369e-0b42-414f-bacc-250ba1ca2020,2,1,36001,136001,1,3,1,negative,ride_hailing,打车流程复杂难耐，连续验证不果，心情跌落谷底。,0.007084607962751011,0.44999999999999996,0.21953068810272083,0.23046931189727915,0.44999999999999996,0.4878459735616019,matched,hybrid,ok,True,True,not_applicable,matched,4,4,1,
7889369e-0033,7889369e-0b42-414f-bacc-250ba1ca2020,2,1,36001,136001,2,5,1,negative,social_contact_coordination,亲友联系受阻，验证失败，焦虑升级。,0.1544639637093853,0.45,0.4040334151265189,0.04596658487348112,0.45,0.8978520336144864,matched,hybrid,ok,True,True,not_applicable,matched,4,3,1,
7889369e-0034,7889369e-0b42-414f-bacc-250ba1ca2020,2,1,39601,139601,1,2,1,positive,ride_hailing,打车启用适老化，叫车一步到位，睡前准备轻松成功！,0.5163572127993922,0.44999999999999996,0.18877190750197792,0.26122809249802204,0.44999999999999996,0.4194931277821732,matched,hybrid,ok,True,True,not_applicable,matched,3,3,1,
7889369e-0035,7889369e-0b42-414f-bacc-250ba1ca2020,2,1,45001,145001,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0036,7889369e-0b42-414f-bacc-250ba1ca2020,2,1,48601,148601,1,2,1,positive,ride_hailing,开启适老化模式，打车便捷一步到位！,0.2312774793016118,0.35626263887033915,0.14834443880738313,0.207918200062956,0.35626263887033915,0.4163906697535374,matched,hybrid,ok,True,True,not_applicable,matched,3,3,1,
7889369e-0037,7889369e-0b42-414f-bacc-250ba1ca2020,2,1,64801,164801,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0038,7889369e-0b42-414f-bacc-250ba1ca2020,2,1,68401,168401,1,6,1,negative,social_contact_coordination,社交应用好友验证、消息发送受阻，验证失败更焦虑。,0.020360702464997105,0.4372297290465632,0.37898083135498123,0.05824889769158201,0.4372297290465632,0.8667773625123768,matched,hybrid,ok,True,True,not_applicable,matched,3,2,1,
7889369e-0039,7889369e-0b42-414f-bacc-250ba1ca2020,2,1,68401,168401,2,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0040,7889369e-0b42-414f-bacc-250ba1ca2020,2,1,68401,168401,3,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0041,7889369e-0b42-414f-bacc-250ba1ca2020,2,1,70201,170201,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0042,7889369e-0b42-414f-bacc-250ba1ca2020,2,1,81001,181001,1,5,1,positive,ride_hailing,适老化一键叫车，便捷无忧，安心入睡。,0.40542434925079696,0.4396039362178985,0.19871468748538337,0.2408892487325151,0.4396039362178985,0.4520311833306389,matched,hybrid,ok,True,True,not_applicable,matched,3,3,1,
7889369e-0043,7889369e-0b42-414f-bacc-250ba1ca2020,2,2,1801,201801,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0044,7889369e-0b42-414f-bacc-250ba1ca2020,2,2,1801,201801,2,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0045,7889369e-0b42-414f-bacc-250ba1ca2020,2,2,3601,203601,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0046,7889369e-0b42-414f-bacc-250ba1ca2020,2,2,5401,205401,1,1,1,negative,ride_hailing,打车流程繁琐，多次验证失败，心情受挫。,0.18303258673025458,0.44999999999999996,0.21292022691789844,0.23707977308210154,0.44999999999999996,0.4731560598175521,matched,hybrid,ok,True,True,not_applicable,matched,3,3,1,
7889369e-0047,7889369e-0b42-414f-bacc-250ba1ca2020,2,2,5401,205401,2,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0048,7889369e-0b42-414f-bacc-250ba1ca2020,2,2,7201,207201,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0049,7889369e-0b42-414f-bacc-250ba1ca2020,2,2,9001,209001,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0050,7889369e-0b42-414f-bacc-250ba1ca2020,2,2,12601,212601,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0051,7889369e-0b42-414f-bacc-250ba1ca2020,2,2,14401,214401,1,4,1,positive,social_contact_coordination,亲友联系，流程顺畅，一触即发，互动成功。,0.12072609894688535,0.2764599297698176,0.0959787307223899,0.1804811990474277,0.2764599297698176,0.3471704952045037,matched,hybrid,ok,True,True,not_applicable,matched,3,2,1,
7889369e-0052,7889369e-0b42-414f-bacc-250ba1ca2020,3,2,39601,239601,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0053,7889369e-0b42-414f-bacc-250ba1ca2020,3,2,52201,252201,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0054,7889369e-0b42-414f-bacc-250ba1ca2020,3,2,52201,252201,2,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0055,7889369e-0b42-414f-bacc-250ba1ca2020,3,2,70201,270201,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0056,7889369e-0b42-414f-bacc-250ba1ca2020,3,2,81001,281001,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0057,7889369e-0b42-414f-bacc-250ba1ca2020,3,2,82801,282801,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0058,7889369e-0b42-414f-bacc-250ba1ca2020,3,2,82801,282801,2,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0059,7889369e-0b42-414f-bacc-250ba1ca2020,3,3,1801,301801,1,1,1,positive,ride_hailing,开启适老化，一键打车，轻松恢复出行便利。,0.4134524943824526,0.4222301423378506,0.04743157552555787,0.37479856681229273,0.4222301423378506,0.11233583481968737,matched,hybrid,ok,True,True,not_applicable,matched,3,3,1,
7889369e-0060,7889369e-0b42-414f-bacc-250ba1ca2020,3,3,1801,301801,2,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0061,7889369e-0b42-414f-bacc-250ba1ca2020,3,3,1801,301801,3,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0062,7889369e-0b42-414f-bacc-250ba1ca2020,3,3,10801,310801,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
7889369e-0063,7889369e-0b42-414f-bacc-250ba1ca2020,3,3,12601,312601,1,,0,no_event,,,,,,,,,,,,,,,,,,0,Expanded from step.no_event_count; per-attempt audit not persisted in artifacts/db.
