slug	scope	title_en	title_zh	method_family	study_design	scenario	friction_focus	relevance	download_status
older-digital-health-era	older_adults	Older adults in the digital health era: insights on the digital health related knowledge, habits and attitudes of the 65 year and older population	数字健康时代的老年人：关于65岁及以上人群数字健康相关知识、习惯与态度的洞见	quantitative	representative_survey	digital_health	knowledge_habits_attitudes	core	downloaded_pdf
older-digital-exclusion-cognitive-impairment	older_adults	Digital exclusion and cognitive impairment in older people: findings from five longitudinal studies	老年人的数字排斥与认知受损：来自五项纵向研究的发现	quantitative	longitudinal_multi_country_analysis	digital_exclusion_and_cognition	exclusion_consequence_risk	core	downloaded_pdf
older-health-purpose-qualitative	older_adults	Older adults' experiences and perceptions of using digital technology for health purposes: A qualitative study	老年人出于健康目的使用数字技术的经验与感知：一项定性研究	qualitative	semi_structured_interviews	digital_health	health_tech_experience_and_barriers	core	metadata_only
older-modes-relating-icts	older_adults	Modes of relating to the new ICTs among older internet users: a qualitative approach	老年网民与新型信息通信技术的关系模式：一项定性研究	qualitative	qualitative_interviews	older_internet_users	heterogeneity_of_engagement	core	downloaded_pdf
older-internet-use-wellbeing	older_adults	Internet use among older adults: Determinants of usage and impacts on individuals' well-being	老年人的互联网使用：使用决定因素及其对个体福祉的影响	quantitative	secondary_survey_analysis	general_internet_use	determinants_and_wellbeing	core	metadata_only
older-nuanced-internet-use	older_adults	A nuanced understanding of Internet use and non-use among the elderly	对老年人互联网使用与不使用的细致理解	quantitative	survey_comparison	users_vs_nonusers_of_internet	nonuse_patterns_and_diversity	core	downloaded_pdf
older-digital-divide-grown-old	older_adults	The digital divide has grown old: Determinants of a digital divide among seniors	数字鸿沟已“老龄化”：老年群体数字鸿沟的决定因素	quantitative	representative_survey	digital_divide_among_seniors	structural_determinants_of_divide	core	metadata_only
older-social-networking-obstacles	older_adults	Obstacles to social networking website use among older adults	老年人使用社交网站的障碍	quantitative	survey	social_network_sites	social_media_usability_and_adoption	supporting	metadata_only
rethinking-online-friction	general	Rethinking online friction in the information society	重新思考信息社会中的在线摩擦	conceptual	conceptual_framework	general_online_environments	online_friction_typology	background	downloaded_pdf
digital-interface-design-power	general	Digital Interface Design and Power: Friction, Threshold, Transition	数字界面设计与权力：摩擦、阈限与转变	qualitative	interviews_and_case_analysis	digital_interface_design	interface_power_thresholds	supporting	downloaded_pdf
politics-of-data-friction	general	The politics of data friction	数据摩擦的政治性	conceptual	theoretical_analysis	data_infrastructures_and_governance	data_flow_power_and_politics	background	downloaded_pdf
science-friction	general	Science friction: data, metadata, and collaboration	科学摩擦：数据、元数据与协作	conceptual	theoretical_analysis	scientific_collaboration	data_metadata_collaboration	background	metadata_only
disciplining-change-frictions	general	Disciplining Change, Displacing Frictions. Two Structural Dimensions of Digital Circulation Across Land Registry Database Integration	规训变迁、转移摩擦：土地登记数据库整合中数字流通的两个结构维度	qualitative	case_study	database_integration_and_government_data	institutional_data_friction	background	downloaded_pdf
data-visualisation-data-frictions	general	Designing a Data Visualisation for Interdisciplinary Scientists. How to Transparently Convey Data Frictions?	为跨学科科学家设计数据可视化：如何透明传达数据摩擦？	qualitative	collaborative_design_study	data_visualisation_and_interdisciplinary_work	transparency_of_data_friction	supporting	metadata_only
lightweight-misinformation-interventions	general	Exploring Lightweight Interventions at Posting Time to Reduce the Sharing of Misinformation on Social Media	探索在发布时刻实施的轻量干预：减少社交媒体上的错误信息分享	quantitative	experiments_and_intervention_design	social_media_posting	friction_intervention_information_sharing	supporting	downloaded_pdf
accuracy-prompts-misinformation	general	Accuracy prompts are a replicable and generalizable approach for reducing the spread of misinformation	准确性提示是一种可复制且可推广的减少错误信息传播的方法	quantitative	meta_analysis_of_experiments	social_media_sharing	accuracy_prompt_interventions	supporting	downloaded_pdf
thinking-more-differently	general	Thinking more or thinking differently? Using drift-diffusion modeling to illuminate why accuracy prompts decrease misinformation sharing	想得更多，还是想得不同？利用漂移扩散模型揭示准确性提示为何会减少错误信息分享	quantitative	computational_modeling_plus_experiments	misinformation_judgment	decision_process_under_prompting	supporting	downloaded_pdf
friction-interventions-perspective	general	A perspective on friction interventions to curb the spread of misinformation	关于遏制错误信息传播的摩擦式干预：一种观点	perspective	perspective_article	misinformation_governance	friction_intervention_framework	background	downloaded_pdf
friction-interventions-arxiv	general	Friction Interventions to Curb the Spread of Misinformation on Social Media	遏制社交媒体错误信息传播的摩擦式干预	computational	computational_modeling_and_intervention_analysis	social_media_misinformation	modeling_friction_effects	supporting	downloaded_pdf
